"","Sum","Mean","SD","Var","Min","25%","Median","75%","Max","Skewness","Kurtosis","shapiro.p","ks.p"
"rfc",3537,30.7565217391304,48.7644879604122,2377.97528604119,2,8,14,29.5,288,3.43025885694387,15.7137115344499,3.82170444598989e-17,4.3894502366193e-08
"lcom",21275,185,867.313122598511,752232.052631579,0,0,1,23,7155,6.50457452121261,47.2941176409045,4.83424245789852e-22,0
"ca",422,3.6695652173913,6.06936763538974,36.8372234935164,0,1,2,4.5,50,4.89662018546621,33.8776782146907,1.27603476575004e-17,2.5346185839048e-07
"ce",522,4.53913043478261,6.22711523496267,38.7769641495042,0,0,3,6,39,3.01465837192146,14.1084477444599,8.81748721271113e-15,2.06250992135226e-05
"npm",1099,9.55652173913044,13.7567790653087,189.248970251716,0,2,5,10.5,83,2.91812533896451,13.0466757264099,2.56975422228069e-15,2.06720116935344e-06
"lcom3",109.112096209,0.9488008366,0.541543815332548,0.293269703924933,0,0.6386752135,0.814583333,1.148809524,2,0.852755167628407,2.91515575119765,1.24373385495321e-08,0.000589844014032503
"loc",90199,784.339130434783,1530.07099873655,2341117.26117468,5,57.5,166,609,7825,2.9075640787509,11.3346102139245,3.07245067243205e-17,7.75549513498675e-10
"dam",56.797934478,0.493895082417391,0.433597883098324,0.188007124227348,0,0,0.5,1,1,-0.00386065439665617,1.2521998640534,1.1306089599945e-11,0.000103195831086866
"moa",162,1.40869565217391,3.20059109719942,10.2437833714722,0,0,0,2,22,4.59816952551414,28.1153533330363,1.32127514122975e-18,5.78203707135572e-10
"mfa",49.200764582,0.427832735495652,0.440613120351428,0.194139921825822,0,0,0.194444444,0.936170213,1,0.1665108311476,1.16532987434541,5.42248020531282e-13,3.58113760867695e-10
"cam",53.083209532,0.461593126365217,0.228436694324029,0.0521833233136899,0.095546559,0.3002232145,0.4375,0.5444444445,1,0.962223651648174,3.62379847535177,2.66410357036822e-07,0.00614292787884563
"ic",59,0.51304347826087,0.765084760713161,0.585354691075515,0,0,0,1,3,1.31341640016004,3.78696004073745,2.52554792347152e-14,2.00420635643184e-09
"cbm",313,2.72173913043478,5.13766249341686,26.3955758962624,0,0,0,3,22,2.12198968676686,6.61122099072872,3.17224153817483e-16,7.57012230678811e-11
"amc",5650.883215722,49.1381149193217,100.411317561356,10082.4326944074,1.266666667,8.0454545455,25.125,52.85064935,779.8,5.88654154801832,41.0043304445011,9.50170710877733e-20,1.89083970703052e-10
"max_cc",532,4.62608695652174,5.85416461382028,34.2712433257056,0,1,2,6.5,31,2.0589032992133,7.44580873533217,2.52743840148692e-13,2.15569077965938e-06
"avg_cc",160.5554,1.39613391304348,1.13068132796945,1.27844026541876,0,0.6667,1,1.975,4.8,1.19642518458613,3.98888077465271,5.68152455539735e-08,0.000998160131765791
